Character                 Codeword      Frequency
     '\n'                   111001        2.1589%
      'T'                 00110110        0.2994%
      'h'                    11110        4.4915%
      'e'                      000        9.1699%
      ' '                      110       15.9411%
      'P'               1110001110        0.1222%
      'r'                    11111        4.5126%
      'o'                     0110        5.8576%
      'j'               0011101101        0.0865%
      'c'                   101111        1.8136%
      't'                     1001        6.3109%
      'G'               1110000011        0.1103%
      'u'                   111011        2.1687%
      'n'                     0101        5.1613%
      'b'                   001100          1.16%
      'g'                   101011        1.7231%
      'E'               1110101100        0.1379%
      'B'                111000100        0.2325%
      'k'                  1000001        0.7493%
      'f'                   101010        1.6607%
      'U'             100000011011         0.025%
      'l'                    10110        3.4499%
      'y'                   101000        1.5331%
      's'                     0010        4.8011%
      ','                  1110100        1.0737%
      'J'               0011010010        0.0702%
      'a'                     0111        5.8842%
      'm'                   101110        1.8092%
      'i'                     0100        5.0365%
      'w'                   101001        1.5522%
      'd'                    10001        3.0843%
      'v'                  0011100        0.6155%
      '.'                   100001        1.4612%
      'Y'              11100011111        0.0649%
      'p'                   001111        1.3629%
      '-'             001101001110        0.0201%
      'L'                001101111        0.1588%
      ':'                100000001        0.1679%
      'A'                111000011        0.2306%
      'R'               1110000010        0.1026%
      'D'               1110101101        0.1386%
      '1'             111000010101        0.0288%
      '2'            1110001111000        0.0141%
      '0'             001101001101        0.0182%
      '8'            1000000110100        0.0117%
      '['          001101001111110        0.0027%
      '#'    111000111100111000110        0.0001%
      '4'           11100011110101        0.0081%
      '3'           11100011110110        0.0084%
      ']'          001101001111001        0.0027%
      '7'           00110100111101        0.0051%
      '9'           11100011110100         0.008%
      'C'                100000010        0.1682%
      'F'               1110000000        0.0941%
      '*'           00110100111110        0.0052%
      'S'                111000110        0.2453%
      'O'                100000000        0.1666%
      'H'                111010100         0.256%
      'I'                 00111010        0.3225%
      'N'               1110000100        0.1114%
      'K'              10000001100        0.0435%
      'W'                001110111        0.1663%
      '—'                001101110        0.1563%
      '5'           11100011110010        0.0074%
      '6'           10000001101011        0.0065%
      'M'                111010101        0.2627%
      'z'              11100001011        0.0606%
      '_'                 00110101        0.2929%
      '!'               1110000001        0.1023%
      'q'               0011101100        0.0785%
      '’'                111010111        0.2916%
      '?'                001101000        0.1451%
      'x'               1000000111        0.0938%
      'Z'            0011010011001        0.0094%
      'Q'            0011010011000        0.0087%
      'V'             111000010100        0.0257%
      'Ü'      0011010011110001001        0.0001%
      'ü'       100000011010101000        0.0003%
      '('               1110001010        0.1165%
      ')'               1110001011        0.1173%
      ';'         1110001111011101        0.0021%
      'é'          111000111100110        0.0039%
      'à'         0011010011110000        0.0012%
      'è'         0011010011111111        0.0014%
      'î'     11100011110111000010        0.0001%
      'œ'       111000111100111010        0.0005%
      'X'         1000000110101000        0.0014%
      '/'          111000111101111        0.0042%
      'æ'       100000011010101111        0.0005%
      'È'     11100011110111000011        0.0001%
      '“'      1110001111011100011        0.0003%
      '”'       001101001111000101        0.0003%
      'ù'      1110001111011100010        0.0003%
      '£'         1110001111001111         0.002%
      'ô'      1110001111001110000        0.0002%
      'ö'     11100011110111000000        0.0001%
      'ê'       100000011010101110        0.0005%
      'Æ'      1000000110101011010        0.0002%
      '&'      1000000110101011011        0.0002%
      'É'    111000111100111000111        0.0001%
      'ò'      0011010011110001000        0.0001%
      'ā'         0011010011111110        0.0014%
      'á'        10000001101010101        0.0008%
      'ñ'       100000011010101001        0.0004%
      'ç'    111000111101110010111        0.0001%
      'ó'     11100011110111000001        0.0001%
      'ú'    111000111101110010100        0.0001%
      'û'     11100011110111001111        0.0001%
      'ä'    111000111101110010101        0.0001%
      'À'    111000111101110011010        0.0001%
      'Ç'    111000111101110011011        0.0001%
      '…'      1000000110101011001        0.0002%
      '✠'    111000111101110010010        0.0001%
      '†'     11100011110111001100        0.0001%
      '%'       111000111100111001        0.0005%
      '°'      1000000110101011000        0.0002%
      'ë'    111000111101110011101        0.0001%
      'ſ'        00110100111100011        0.0007%
      '+'    111000111101110010110        0.0001%
      '•'    111000111101110010011        0.0001%
      '̸'     11100011110111001000        0.0001%
      '"'         1000000110101001        0.0014%
      "'"       111000111100111011        0.0005%
      '@'    111000111101110011100        0.0001%
      '$'     11100011110011100010        0.0001%

Average Codeword Length: 4.637 bits
Original Size (bits): 12313496
Encoding Size (bits): 7137965
Compression Ratio: 57.969%
